saturation_level,tolerance_type,precision,recall,F1
1,full_window,0.26598816287381116,0.19664422425474254,0.19757836336434886
1,half_window,0.21272847404651118,0.16103337930700734,0.1550669779242448
1,quarter_window,0.14340188128914366,0.10079516308555944,0.09928805274573978
2,full_window,0.3232253398983582,0.22433368418505611,0.22626741201003212
2,half_window,0.2724915825620856,0.18363579171506,0.17969154199979945
2,quarter_window,0.20019259196088465,0.12023355836236933,0.12170368348479467
3,full_window,0.44697943745255886,0.2858981804103755,0.29843472772084717
3,half_window,0.3632442699734441,0.22546215640727835,0.22752875292941432
3,quarter_window,0.2926804206507399,0.16013931233062328,0.1686619506300084
4,full_window,0.5378007694795043,0.3332704219899342,0.352989933773784
4,half_window,0.4612068824861373,0.2682494313782423,0.2772321852902647
4,quarter_window,0.3947037588155773,0.2059378629500581,0.2206974791987993
5,full_window,0.594864547793955,0.37868364063104915,0.39810511656613523
5,half_window,0.5004811538045487,0.3022611788617886,0.31028133470514846
5,quarter_window,0.43442985532521045,0.23316062959736739,0.2491041769826178
6,full_window,0.63660415634501,0.41497350464576077,0.43245594736387405
6,half_window,0.5316862888128132,0.3319994918699187,0.338149200038972
6,quarter_window,0.46612505042383084,0.26294824332171896,0.2767236001950804
