threshold,tolerance_type,tolerance_value,precision,recall,F1,num_detected,num_true,saturation_level
0.0,full_window,100,0.494287768161849,0.9582961309523809,0.6379581878312078,13.958333333333334,5.5625,1
0.0,half_window,50,0.3390805179637901,0.8327256944444444,0.4739780191881964,13.958333333333334,5.5625,1
0.0,quarter_window,25,0.2057821935349509,0.509982638888889,0.288231314444045,13.958333333333334,5.5625,1
1.0,full_window,100,0.5310036895974396,0.8851686507936508,0.647887410201173,11.177083333333334,5.5625,1
1.0,half_window,50,0.38355010151885155,0.7577380952380953,0.4987596585946245,11.177083333333334,5.5625,1
1.0,quarter_window,25,0.23765227827727828,0.4647197420634921,0.30707082797591695,11.177083333333334,5.5625,1
2.0,full_window,100,0.5855439121064121,0.8253224206349206,0.6665286930844226,8.979166666666666,5.5625,1
2.0,half_window,50,0.43878445050320053,0.6910962301587301,0.5231284965823976,8.979166666666666,5.5625,1
2.0,quarter_window,25,0.2752284174159174,0.4259300595238095,0.3248716807322651,8.979166666666666,5.5625,1
3.0,full_window,100,0.6255508958633959,0.7561135912698412,0.667086673050047,7.40625,5.5625,1
3.0,half_window,50,0.4929743867243867,0.641344246031746,0.5434502871175665,7.40625,5.5625,1
3.0,quarter_window,25,0.3049655784030784,0.3884548611111111,0.3319708766859502,7.40625,5.5625,1
4.0,full_window,100,0.6616838023088023,0.7018105158730159,0.659026642119572,6.385416666666667,5.5625,1
4.0,half_window,50,0.5362486471861472,0.5962301587301587,0.5458919756713875,6.385416666666667,5.5625,1
4.0,quarter_window,25,0.33175805675805675,0.3589905753968254,0.3325100144953086,6.385416666666667,5.5625,1
5.0,full_window,100,0.6955026455026455,0.6372395833333333,0.6388488237296429,5.364583333333333,5.5625,1
5.0,half_window,50,0.572317294973545,0.5318824404761905,0.5296697379417967,5.364583333333333,5.5625,1
5.0,quarter_window,25,0.3460978835978836,0.3180679563492063,0.3195258258217817,5.364583333333333,5.5625,1
6.0,full_window,100,0.729369212962963,0.5642237103174603,0.6079964678029345,4.364583333333333,5.5625,1
6.0,half_window,50,0.6192997685185185,0.4730530753968254,0.5112734725786197,4.364583333333333,5.5625,1
6.0,quarter_window,25,0.3710441468253968,0.28229166666666666,0.3068905767435179,4.364583333333333,5.5625,1
7.0,full_window,100,0.734631283068783,0.509610615079365,0.5703850867401375,3.78125,5.5625,1
7.0,half_window,50,0.6293568121693122,0.4266865079365079,0.480509768009768,3.78125,5.5625,1
7.0,quarter_window,25,0.3931712962962963,0.26184275793650796,0.2975777694527694,3.78125,5.5625,1
8.0,full_window,100,0.7059771825396824,0.423015873015873,0.49804581766560396,3.1145833333333335,5.5625,1
8.0,half_window,50,0.6066592261904762,0.3523809523809524,0.4181203056203056,3.1145833333333335,5.5625,1
8.0,quarter_window,25,0.4013392857142857,0.22854662698412698,0.27359434546934547,3.1145833333333335,5.5625,1
9.0,full_window,100,0.6987847222222222,0.34858630952380953,0.4386388226042881,2.3958333333333335,5.5625,1
9.0,half_window,50,0.5911458333333334,0.28092757936507934,0.35747932622932627,2.3958333333333335,5.5625,1
9.0,quarter_window,25,0.4021701388888889,0.18556547619047617,0.23871741684241685,2.3958333333333335,5.5625,1
10.0,full_window,100,0.6469990079365079,0.28526785714285713,0.3726202364420501,2.0,5.5625,1
10.0,half_window,50,0.5379712301587302,0.2238095238095238,0.29423510517260515,2.0,5.5625,1
10.0,quarter_window,25,0.3753720238095238,0.14732142857142858,0.19663218725718726,2.0,5.5625,1
11.0,full_window,100,0.5602430555555555,0.21940724206349205,0.29714099956556855,1.5833333333333333,5.5625,1
11.0,half_window,50,0.46631944444444445,0.17456597222222223,0.23736431392681392,1.5833333333333333,5.5625,1
11.0,quarter_window,25,0.3355902777777778,0.11409970238095239,0.15947414853664854,1.5833333333333333,5.5625,1
12.0,full_window,100,0.4770833333333333,0.17394593253968252,0.23996062207269106,1.3020833333333333,5.5625,1
12.0,half_window,50,0.3901041666666667,0.14006696428571427,0.192712438024938,1.3020833333333333,5.5625,1
12.0,quarter_window,25,0.303125,0.09775545634920635,0.1388722966847967,1.3020833333333333,5.5625,1
13.0,full_window,100,0.3977430555555555,0.14077380952380952,0.1970592613123101,1.0104166666666667,5.5625,1
13.0,half_window,50,0.3272569444444445,0.10838293650793651,0.1536180254930255,1.0104166666666667,5.5625,1
13.0,quarter_window,25,0.26805555555555555,0.0799107142857143,0.11716420153920154,1.0104166666666667,5.5625,1
14.0,full_window,100,0.3585069444444444,0.10518353174603175,0.15504894411144413,0.7395833333333334,5.5625,1
14.0,half_window,50,0.2829861111111111,0.07341269841269842,0.11113666426166426,0.7395833333333334,5.5625,1
14.0,quarter_window,25,0.2300347222222222,0.05458829365079365,0.08499503968253969,0.7395833333333334,5.5625,1
15.0,full_window,100,0.3307291666666667,0.09188988095238095,0.1378682081807082,0.625,5.5625,1
15.0,half_window,50,0.2552083333333333,0.06185515873015873,0.0956356721981722,0.625,5.5625,1
15.0,quarter_window,25,0.19357638888888887,0.04303075396825396,0.06833664021164021,0.625,5.5625,1
16.0,full_window,100,0.2621527777777778,0.0712921626984127,0.10731265262515262,0.5,5.5625,1
16.0,half_window,50,0.2074652777777778,0.046540178571428566,0.07405002405002405,0.5,5.5625,1
16.0,quarter_window,25,0.14409722222222224,0.03093998015873016,0.049760251322751324,0.5,5.5625,1
17.0,full_window,100,0.1909722222222222,0.05209573412698412,0.07930466524216524,0.3645833333333333,5.5625,1
17.0,half_window,50,0.1388888888888889,0.028831845238095236,0.046924603174603174,0.3645833333333333,5.5625,1
17.0,quarter_window,25,0.10416666666666667,0.021391369047619044,0.03500330687830688,0.3645833333333333,5.5625,1
18.0,full_window,100,0.18576388888888887,0.04911954365079365,0.07504705942205943,0.3333333333333333,5.5625,1
18.0,half_window,50,0.13368055555555555,0.02734375,0.04469246031746032,0.3333333333333333,5.5625,1
18.0,quarter_window,25,0.109375,0.021391369047619044,0.035375330687830685,0.3333333333333333,5.5625,1
19.0,full_window,100,0.1753472222222222,0.044159226190476186,0.06781326312576312,0.2916666666666667,5.5625,1
19.0,half_window,50,0.1232638888888889,0.02411954365079365,0.03969080687830688,0.2916666666666667,5.5625,1
19.0,quarter_window,25,0.09895833333333333,0.0181671626984127,0.030373677248677247,0.2916666666666667,5.5625,1
20.0,full_window,100,0.15972222222222224,0.038392857142857145,0.059479929792429796,0.25,5.5625,1
20.0,half_window,50,0.11805555555555557,0.021329365079365076,0.03558201058201058,0.25,5.5625,1
20.0,quarter_window,25,0.09375,0.016865079365079364,0.028290343915343918,0.25,5.5625,1
21.0,full_window,100,0.14583333333333334,0.03244047619047619,0.05164517195767196,0.22916666666666666,5.5625,1
21.0,half_window,50,0.10416666666666667,0.018353174603174604,0.030894510582010582,0.22916666666666666,5.5625,1
21.0,quarter_window,25,0.08333333333333333,0.015376984126984128,0.02568617724867725,0.22916666666666666,5.5625,1
22.0,full_window,100,0.10416666666666667,0.024193948412698413,0.03802083333333334,0.1875,5.5625,1
22.0,half_window,50,0.0625,0.010106646825396826,0.017270171957671956,0.1875,5.5625,1
22.0,quarter_window,25,0.041666666666666664,0.007130456349206349,0.012061838624338623,0.1875,5.5625,1
23.0,full_window,100,0.08333333333333333,0.02062251984126984,0.03194444444444444,0.16666666666666666,5.5625,1
23.0,half_window,50,0.052083333333333336,0.008618551587301586,0.01466600529100529,0.16666666666666666,5.5625,1
23.0,quarter_window,25,0.041666666666666664,0.007130456349206349,0.012061838624338623,0.16666666666666666,5.5625,1
24.0,full_window,100,0.07291666666666667,0.0191344246031746,0.029340277777777774,0.13541666666666666,5.5625,1
24.0,half_window,50,0.052083333333333336,0.008618551587301586,0.01466600529100529,0.13541666666666666,5.5625,1
24.0,quarter_window,25,0.041666666666666664,0.007130456349206349,0.012061838624338623,0.13541666666666666,5.5625,1
25.0,full_window,100,0.07291666666666667,0.0191344246031746,0.029340277777777774,0.13541666666666666,5.5625,1
25.0,half_window,50,0.052083333333333336,0.008618551587301586,0.01466600529100529,0.13541666666666666,5.5625,1
25.0,quarter_window,25,0.041666666666666664,0.007130456349206349,0.012061838624338623,0.13541666666666666,5.5625,1
26.0,full_window,100,0.0625,0.017051091269841268,0.025868055555555557,0.125,5.5625,1
26.0,half_window,50,0.052083333333333336,0.008618551587301586,0.01466600529100529,0.125,5.5625,1
26.0,quarter_window,25,0.041666666666666664,0.007130456349206349,0.012061838624338623,0.125,5.5625,1
27.0,full_window,100,0.041666666666666664,0.012958829365079366,0.01909722222222222,0.10416666666666667,5.5625,1
27.0,half_window,50,0.041666666666666664,0.007130456349206349,0.012061838624338623,0.10416666666666667,5.5625,1
27.0,quarter_window,25,0.03125,0.005642361111111111,0.009457671957671958,0.10416666666666667,5.5625,1
28.0,full_window,100,0.03125,0.011656746031746032,0.01678240740740741,0.09375,5.5625,1
28.0,half_window,50,0.03125,0.005828373015873016,0.00974702380952381,0.09375,5.5625,1
28.0,quarter_window,25,0.020833333333333332,0.004340277777777777,0.007142857142857143,0.09375,5.5625,1
29.0,full_window,100,0.020833333333333332,0.006448412698412699,0.009837962962962963,0.0625,5.5625,1
29.0,half_window,50,0.020833333333333332,0.0032242063492063495,0.005580357142857143,0.0625,5.5625,1
29.0,quarter_window,25,0.010416666666666666,0.001736111111111111,0.002976190476190476,0.0625,5.5625,1
