chromosome,window_size,threshold,tolerance_type,tolerance_value,precision,recall,F1,num_detected,num_true,annotation_error,hausdorff_distance,rand_index,adjusted_rand_index,mae_localization
I,100,0.0,full_window,100,0.7142857142857143,1.0,0.8333333333333333,14,8,6,320.0,0.8324137931034483,0.66514761134552,17.5
I,100,0.0,half_window,50,0.5714285714285714,1.0,0.7272727272727273,14,8,6,320.0,0.8324137931034483,0.66514761134552,17.5
I,100,0.0,quarter_window,25,0.42857142857142855,0.75,0.5454545454545454,14,8,6,320.0,0.8324137931034483,0.66514761134552,17.5
I,100,1.0,full_window,100,0.75,0.875,0.8076923076923077,12,8,4,320.0,0.9039430284857571,0.807976435592316,18.571428571428573
I,100,1.0,half_window,50,0.5833333333333334,0.875,0.7000000000000001,12,8,4,320.0,0.9039430284857571,0.807976435592316,18.571428571428573
I,100,1.0,quarter_window,25,0.4166666666666667,0.625,0.5,12,8,4,320.0,0.9039430284857571,0.807976435592316,18.571428571428573
I,100,10.0,full_window,100,1.0,0.5,0.6666666666666666,4,8,4,710.0,0.5487206396801599,0.09504131053009109,25.0
I,100,10.0,half_window,50,1.0,0.5,0.6666666666666666,4,8,4,710.0,0.5487206396801599,0.09504131053009109,25.0
I,100,10.0,quarter_window,25,0.5,0.25,0.3333333333333333,4,8,4,710.0,0.5487206396801599,0.09504131053009109,25.0
I,100,11.0,full_window,100,1.0,0.5,0.6666666666666666,4,8,4,710.0,0.5487206396801599,0.09504131053009109,25.0
I,100,11.0,half_window,50,1.0,0.5,0.6666666666666666,4,8,4,710.0,0.5487206396801599,0.09504131053009109,25.0
I,100,11.0,quarter_window,25,0.5,0.25,0.3333333333333333,4,8,4,710.0,0.5487206396801599,0.09504131053009109,25.0
I,100,12.0,full_window,100,1.0,0.5,0.6666666666666666,4,8,4,710.0,0.5487206396801599,0.09504131053009109,25.0
I,100,12.0,half_window,50,1.0,0.5,0.6666666666666666,4,8,4,710.0,0.5487206396801599,0.09504131053009109,25.0
I,100,12.0,quarter_window,25,0.5,0.25,0.3333333333333333,4,8,4,710.0,0.5487206396801599,0.09504131053009109,25.0
I,100,13.0,full_window,100,1.0,0.5,0.6666666666666666,4,8,4,710.0,0.5487206396801599,0.09504131053009109,25.0
I,100,13.0,half_window,50,1.0,0.5,0.6666666666666666,4,8,4,710.0,0.5487206396801599,0.09504131053009109,25.0
I,100,13.0,quarter_window,25,0.5,0.25,0.3333333333333333,4,8,4,710.0,0.5487206396801599,0.09504131053009109,25.0
I,100,14.0,full_window,100,1.0,0.5,0.6666666666666666,4,8,4,710.0,0.5487206396801599,0.09504131053009109,25.0
I,100,14.0,half_window,50,1.0,0.5,0.6666666666666666,4,8,4,710.0,0.5487206396801599,0.09504131053009109,25.0
I,100,14.0,quarter_window,25,0.5,0.25,0.3333333333333333,4,8,4,710.0,0.5487206396801599,0.09504131053009109,25.0
I,100,15.0,full_window,100,1.0,0.5,0.6666666666666666,4,8,4,710.0,0.5487206396801599,0.09504131053009109,25.0
I,100,15.0,half_window,50,1.0,0.5,0.6666666666666666,4,8,4,710.0,0.5487206396801599,0.09504131053009109,25.0
I,100,15.0,quarter_window,25,0.5,0.25,0.3333333333333333,4,8,4,710.0,0.5487206396801599,0.09504131053009109,25.0
I,100,16.0,full_window,100,1.0,0.5,0.6666666666666666,4,8,4,710.0,0.5487206396801599,0.09504131053009109,25.0
I,100,16.0,half_window,50,1.0,0.5,0.6666666666666666,4,8,4,710.0,0.5487206396801599,0.09504131053009109,25.0
I,100,16.0,quarter_window,25,0.5,0.25,0.3333333333333333,4,8,4,710.0,0.5487206396801599,0.09504131053009109,25.0
I,100,17.0,full_window,100,1.0,0.25,0.4,2,8,6,710.0,0.5487206396801599,0.09504131053009109,15.0
I,100,17.0,half_window,50,1.0,0.25,0.4,2,8,6,710.0,0.5487206396801599,0.09504131053009109,15.0
I,100,17.0,quarter_window,25,0.5,0.125,0.2,2,8,6,710.0,0.5487206396801599,0.09504131053009109,15.0
I,100,18.0,full_window,100,1.0,0.25,0.4,2,8,6,710.0,0.5487206396801599,0.09504131053009109,15.0
I,100,18.0,half_window,50,1.0,0.25,0.4,2,8,6,710.0,0.5487206396801599,0.09504131053009109,15.0
I,100,18.0,quarter_window,25,0.5,0.125,0.2,2,8,6,710.0,0.5487206396801599,0.09504131053009109,15.0
I,100,19.0,full_window,100,1.0,0.25,0.4,2,8,6,710.0,0.5487206396801599,0.09504131053009109,15.0
I,100,19.0,half_window,50,1.0,0.25,0.4,2,8,6,710.0,0.5487206396801599,0.09504131053009109,15.0
I,100,19.0,quarter_window,25,0.5,0.125,0.2,2,8,6,710.0,0.5487206396801599,0.09504131053009109,15.0
I,100,2.0,full_window,100,0.8,0.875,0.8358208955223881,10,8,2,320.0,0.9114392803598201,0.8229540899716947,18.571428571428573
I,100,2.0,half_window,50,0.7,0.875,0.7777777777777777,10,8,2,320.0,0.9114392803598201,0.8229540899716947,18.571428571428573
I,100,2.0,quarter_window,25,0.5,0.625,0.5555555555555556,10,8,2,320.0,0.9114392803598201,0.8229540899716947,18.571428571428573
