dataset_id,method,theta,threshold,precision,recall,num_detected,num_true
1,ref,0.2582618760682676,0.0,0.3149269682935518,0.9132231404958677,2807,968
1,ref,0.2582618760682676,1.0,0.42475091767173573,0.8367768595041323,1907,968
1,ref,0.2582618760682676,2.0,0.5540540540540541,0.762396694214876,1332,968
1,ref,0.2582618760682676,3.0,0.6683119447186574,0.6993801652892562,1013,968
1,ref,0.2582618760682676,4.0,0.7682926829268293,0.6508264462809917,820,968
1,ref,0.2582618760682676,5.0,0.8390313390313391,0.6084710743801653,702,968
1,ref,0.2582618760682676,6.0,0.8990228013029316,0.5702479338842975,614,968
1,ref,0.2582618760682676,7.0,0.9308510638297872,0.5423553719008265,564,968
1,ref,0.2582618760682676,8.0,0.9540229885057471,0.5144628099173554,522,968
1,ref,0.2582618760682676,9.0,0.9715447154471545,0.493801652892562,492,968
1,ref,0.2582618760682676,10.0,0.9829787234042553,0.4772727272727273,470,968
1,ref,0.2582618760682676,11.0,0.9866369710467706,0.45764462809917356,449,968
1,ref,0.2582618760682676,12.0,0.988558352402746,0.4462809917355372,437,968
1,ref,0.2582618760682676,13.0,0.9927884615384616,0.42665289256198347,416,968
1,ref,0.2582618760682676,14.0,0.9974811083123426,0.4090909090909091,397,968
1,ref,0.2582618760682676,15.0,0.9974093264248705,0.3977272727272727,386,968
1,ref,0.2582618760682676,16.0,1.0,0.3853305785123967,373,968
1,ref,0.2582618760682676,17.0,1.0,0.375,363,968
1,ref,0.2582618760682676,18.0,1.0,0.36260330578512395,351,968
1,ref,0.2582618760682676,19.0,1.0,0.3512396694214876,340,968
1,ref,0.2582618760682676,20.0,1.0,0.33367768595041325,323,968
1,ref,0.2582618760682676,21.0,1.0,0.3202479338842975,310,968
1,ref,0.2582618760682676,22.0,1.0,0.30991735537190085,300,968
1,ref,0.2582618760682676,23.0,1.0,0.30268595041322316,293,968
1,ref,0.2582618760682676,24.0,1.0,0.2840909090909091,275,968
1,ref,0.2582618760682676,25.0,1.0,0.26962809917355374,261,968
1,ref,0.2582618760682676,26.0,1.0,0.25516528925619836,247,968
1,ref,0.2582618760682676,27.0,1.0,0.2365702479338843,229,968
1,ref,0.2582618760682676,28.0,1.0,0.2262396694214876,219,968
1,ref,0.2582618760682676,29.0,1.0,0.2159090909090909,209,968
