dataset_id,method,auc
1,ref,0.6446941123549619
1,v0,0.746487770836727
1,v1,0.658304179802192
1,v2,0.39712560961823423
2,ref,0.6296495801059376
2,v0,0.7101924895724281
2,v1,0.6528827011645727
2,v2,0.4097940024169706
3,ref,0.6317522340161136
3,v0,0.7368333311671453
3,v1,0.6437623718706544
3,v2,0.3768646956979382
4,ref,0.6274807064093111
4,v0,0.7342694072703406
4,v1,0.6346057336614473
4,v2,0.3679581094026637
5,ref,0.640253228766664
5,v0,0.7300768838161004
5,v1,0.6635059090077793
5,v2,0.3690667721323875
6,ref,0.6387115226565573
6,v0,0.7345405214735323
6,v1,0.6604396702368047
6,v2,0.3711021065894502
7,ref,0.6330944502343452
7,v0,0.7290794605988946
7,v1,0.6367266596788587
7,v2,0.3678174543390826
8,ref,0.6177080766332731
8,v0,0.716329853862115
8,v1,0.6406161355212221
8,v2,0.37687119959935156
9,ref,0.6441835435539757
9,v0,0.752419579337339
9,v1,0.6661944894319063
9,v2,0.39815348330615785
10,ref,0.630805986150096
10,v0,0.7335049265173601
10,v1,0.6580813728863919
10,v2,0.37219102872763254
